"","time","avg","sd"
"1",1,49.9521739130435,4.30520854093921
"2",2,49.9478260869565,9.76657116310697
"3",3,48.8086956521739,14.5796386416148
"4",4,48.004347826087,17.134326186118
"5",5,47.2130434782609,18.5414160354791
"6",6,45.7,19.9501890634681
"7",7,44.9565217391304,20.5719066097594
"8",8,44.4521739130435,21.3724482797785
"9",9,42.9739130434783,21.9644257316613
"10",10,42.2086956521739,22.8096339303807
"11",11,41.4521739130435,23.3001090681934
"12",12,41.7652173913043,23.7108971814447
"13",13,41.9478260869565,24.4114453356563
"14",14,41.9,24.1021026823759
"15",15,41.9217391304348,24.1011869196522
"16",16,42.8913043478261,24.4199326745256
"17",17,43.404347826087,24.1848228827452
"18",18,43.3608695652174,24.33903973323
"19",19,42.9869565217391,24.5796948959327
"20",20,42.5521739130435,24.816432954767
"21",21,42.6391304347826,25.3602039983674
"22",22,42.195652173913,25.8426710913584
"23",23,42.395652173913,25.84307663253
"24",24,42.7608695652174,25.8794524744231
"25",25,43.0521739130435,26.0058251715211
"26",26,42.9782608695652,26.2870359487515
"27",27,42.2260869565217,26.2672063365336
"28",28,40.9434782608696,26.6555142887422
"29",29,39.8565217391304,26.4906892448994
"30",30,40.2,26.4678102261207
"31",31,40.5,26.8891871256733
"32",32,40.8869565217391,26.619513877625
"33",33,40.6086956521739,26.3967695695154
"34",34,41.4652173913043,27.2144340826999
"35",35,40.6347826086957,27.173172756197
"36",36,40.5478260869565,26.7889188712939
"37",37,40.6130434782609,26.4676255131392
"38",38,40.6739130434783,26.4923605597414
"39",39,40.9173913043478,26.4417816815074
"40",40,41.6217391304348,26.8093781499599
"41",41,41.6608695652174,26.9663827453218
"42",42,41.504347826087,27.0727223497073
"43",43,41.1913043478261,26.9484047383496
"44",44,40.8739130434783,27.0648052516766
"45",45,40.8478260869565,27.0443331578384
"46",46,40.4086956521739,27.0470706151134
"47",47,40.1260869565217,26.9049226416001
"48",48,42.9434782608696,27.3537608454551
"49",49,45.7,27.1111491914369
"50",50,47.7478260869565,26.5972200268636
"51",51,48.4173913043478,26.437528773749
"52",52,48.904347826087,26.3040581367903
"53",53,49.1478260869565,26.1459602959033
"54",54,49.5,26.0128872998915
"55",55,49.9652173913043,26.0553426566779
"56",56,49.8652173913043,25.8906688303969
"57",57,49.9608695652174,25.8871119850427
"58",58,50.0695652173913,25.9366785991069
"59",59,49.5173913043478,25.666098350133
"60",60,49.0086956521739,25.7700600295078
"61",61,48.3826086956522,25.8832051256306
"62",62,48.1434782608696,25.680627093905
"63",63,47.7652173913043,25.2570472451166
"64",64,46.7260869565217,25.6019021774081
"65",65,46.5173913043478,25.4731154138145
"66",66,46.4173913043478,25.6848493593942
"67",67,46.4434782608696,25.7797833199494
"68",68,45.8826086956522,25.8986798431723
"69",69,45.9434782608696,26.2087909197148
"70",70,46.1913043478261,26.494918570957
"71",71,46.295652173913,26.461960475235
"72",72,46.1304347826087,26.8321718320561
"73",73,46.3217391304348,26.824041822023
"74",74,46.3739130434783,26.3930521721501
"75",75,47.2086956521739,27.0450039464948
"76",76,47.2869565217391,27.2932530707843
"77",77,47.4304347826087,26.9248012287467
"78",78,48.3217391304348,26.8543045677618
"79",79,48.204347826087,26.8091586100846
"80",80,48.204347826087,26.9993850530143
"81",81,48.5391304347826,26.9739602578421
"82",82,48.3913043478261,26.7934671214331
"83",83,48.3869565217391,27.1423999084985
"84",84,49.2652173913043,27.3488559222906
"85",85,50.7652173913043,27.4729975997179
"86",86,51.9217391304348,27.2201594398646
"87",87,52.4521739130435,26.9456005363875
"88",88,53.0652173913044,27.0477518651163
"89",89,53.0521739130435,26.6392177253323
"90",90,52.8521739130435,26.7275575295987
"91",91,52.0782608695652,26.9025892249405
"92",92,51.6913043478261,26.9039276209878
"93",93,50.5304347826087,26.8226658174922
"94",94,50.2,27.1556085226571
"95",95,50.1217391304348,27.2061988268141
"96",96,50.3130434782609,26.8311443936721
"97",97,49.704347826087,26.663837739954
"98",98,49.4652173913043,26.7359089719268
"99",99,49.4434782608696,26.9316428245435
"100",100,49.0304347826087,26.7678673101567
"101",101,49.1130434782609,26.3711385235577
