"","time","avg","sd"
"156",156,49,27.608302023329
"157",157,49.0565217391304,27.922558629633
"158",158,49.5521739130435,27.9305809701851
"159",159,49.4,27.8670580751573
"160",160,49.2173913043478,28.377764408347
"161",161,49.2739130434783,28.5685984724901
"162",162,49.3478260869565,28.5664913415679
"163",163,49.6173913043478,28.7953424814414
"164",164,49.7260869565217,28.9941827833834
"165",165,49.6478260869565,28.973596918532
"166",166,49.6,29.110330704267
"167",167,49.504347826087,28.994164120841
"168",168,49.5478260869565,29.4436753325315
"169",169,49.3173913043478,29.5987600379657
"170",170,48.3347826086957,29.4276718048925
"171",171,48.2434782608696,29.477129408315
"172",172,48.1652173913043,29.4156867620287
"173",173,48.5782608695652,29.2150654519884
"174",174,48.8913043478261,29.0688298231436
"175",175,49.3652173913043,28.9754693523391
"176",176,50.1913043478261,28.9383913122521
"177",177,48.9347826086956,27.0454914951558
