WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	NonSteadyStateOutlier00	NonSteadyStateOutlier01	X	Y	Z	RotX	RotY	RotZ
2479.29736328125	6548.00439453125	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-6.54147e-07	-0.0112734	3.43464e-07	-8.94125e-05	2.30786e-24	-0.00017029
-697.50244140625	3239.20361328125	1.02639246	25.23059082	0.87498295	0.044746316199000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-2.56881e-06	0.00844079	0.00428	6.49668e-05	9.03418e-05	0.0
-1149.33349609375	1627.7467041015625	1.33508563	32.81882858	1.12326169	0.31801320119	-0.1648766855	0.0568784159	0.033496358399999995	0.1842073345	-0.0718634116	0.0230024108	-0.1223555496	0.198474944	0.0030762039000000003	-0.10043715710000001	0.024211761600000003	-0.0881978851	0.09925536189999999	0.0992464474	0.09923159050000001	0.09921079220000001	0.09918405359999999	0.0	0.0	-0.0479011	0.00757515	0.00427104	0.00398295	0.00155716	0.0
301.61669921875	2755.7587890625	1.38539422	34.05550385	1.24439752	0.28554326	-0.1898233601	0.0379036008	-0.0722287964	0.2064829116	-0.0418920915	0.0370773979	-0.0973513401	0.2368105594	0.0714963998	-0.0866028111	-0.0025183492	-0.07064100820000001	0.09923159050000001	0.0991513764	0.0990177342	0.098830736	0.0985904824	0.0	0.0	-0.0304792	0.0103319	0.07219159999999998	0.00546496	0.00355716	0.000466871
-252.93310546875	2315.4892578125	1.45301831	35.71782684	1.22337496	0.22506045000000002	-0.1642196602	-0.0977427945	0.0899292593	0.17676640829999998	-0.1520863658	-0.10511342130000001	-0.12309861550000001	0.1999810239	-0.0040727123	-0.0385640156	-0.08594046179999999	-0.0488843312	0.09918405359999999	0.0989613255	0.0985904824	0.0980720794	0.0974068923	0.0	0.0	-0.0479525	0.0203425	0.126363	0.00620224	0.00518372	0.000971134
-1502.54541015625	1742.751220703125	1.52306294	37.43965149	1.3160249	0.38311845	-0.16880204899999998	0.10219595199999999	0.002654703	0.151922159	-0.1157065501	-0.17609645510000002	-0.0796245195	0.2519128798	0.061363145	-0.0374777163	-0.0567896307	0.0020520974	0.0991127625	0.0986764768	0.097950756	0.09693772869999999	0.09564036640000001	0.0	0.0	-0.0890147	0.0561142	-0.0022402	0.00792234	0.00661514	0.000569027
-1341.34521484375	1485.13818359375	1.3793993	33.90813828	1.21935034	0.5668643499999999	-0.09802984220000001	-0.09525996240000001	-0.008290718	0.1056374751	-0.0920906658	-0.013908926799999999	-0.1124143503	0.07118990509999999	-0.0206813612	-0.0474174095	-0.0485160122	0.0279878735	0.0990177342	0.0982971031	0.0970999336	0.09543202949999999	0.0933014767	0.0	0.0	-0.158064	0.162447	-0.101099	0.0109533	0.008742069999999998	-0.000125552
1038.47998046875	2254.64990234375	1.43787825	35.34565735	1.1788975	0.6593664000000001	-0.032560998	0.033663412999999996	0.0707891684	-0.0097808543	-0.0652521778	0.0068924851	-0.037395208199999995	-0.0053881218	-0.0274111757	-0.066292147	-0.022076764500000002	-0.0358586397	0.0988989915	0.0978235678	0.09603984880000001	0.0935607496	0.09040422029999999	0.0	0.0	-0.229313	0.271208	-0.309852	0.0145973	0.00949361	-0.00114208
822.1802368164062	1638.2244873046875	1.36858344	33.64226532	0.99577582	0.198993	-0.0340095063	0.0157356424	-0.0895062598	0.07557006	0.0635687235	0.060326932300000004	-0.0487255867	0.034346979900000005	-0.1078453177	0.0486370312	0.070777602	0.0061423944999999995	0.0987565629	0.09725632449999999	0.09477278630000001	0.0913310577	0.086965936	0.0	0.0	-0.229286	0.150931	-0.333634	0.0152471	0.00976973	-0.0013143
200.19293212890625	220.517578125	1.2236867	30.08044052	0.92643076	0.10204000000000003	-0.0049372903	-0.057114785700000004	0.09641551289999999	-0.041090897200000004	-0.0446545596	0.0814091347	-0.061399904400000004	-0.0467308022	0.0013855818	-0.0264353856	0.0327037294	-0.08678910960000001	0.0985904824	0.09659591669999999	0.0933014767	0.0887514951	0.0830072003	0.0	0.0	-0.229293	0.177772	-0.277687	0.0153539	0.00960537	-0.00120056
