WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	Cosine19	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
-15092.5849609375	-9041.08984375	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.14284e-10	6.23479e-09	-5.33471e-05	-0.0	0.0
-6880.3291015625	-3688.138671875	1.83854222	34.80178833	1.49672472	0.08468613785092598	0.0153287694	0.011691450800000001	-0.0011273236	0.0352473918	-0.017315173899999998	0.029713587599999997	-0.0341413025	0.023174167000000002	0.006371109399999999	-0.1481119835	0.0977354873	-0.014423710800000001	0.05255870940000001	0.0525583383	0.052557719800000006	0.0525568539	0.0525557406	0.0525543799	0.052552771799999995	0.052550916399999995	0.0525488135	0.0525464634	0.0525438658	0.05254102099999999	0.0525379288	0.0525345893	0.0525310025	0.0525271685	0.0525230872	0.05251875860000001	0.0525141829	0.052509359900000004	0.0	-0.0395172	0.0187467	0.00609009	0.0	0.000353296	0.0
-10981.759765625	-6732.4365234375	1.70506155	32.27513123	1.26596165	0.06457650000000001	0.0159997439	0.0053759407	-0.0525223041	-0.0193226907	-0.0419237238	0.024228924199999998	-0.10689878720000001	0.0457191062	-0.0030427557	0.0017951698000000002	-0.053786941	0.013518675700000002	0.052557719800000006	0.0525543799	0.0525488135	0.05254102099999999	0.0525310025	0.05251875860000001	0.052504289800000006	0.0524875966	0.05246867980000001	0.0524475402	0.052424178700000004	0.0523985962	0.0523707939	0.0523407729	0.0523085346	0.052274080099999995	0.0522374112	0.052198529199999996	0.0521574358	0.052114132800000004	0.0	-0.0194063	0.021184	-0.0153344	-5.87802e-05	-0.0	0.0
-11631.44140625	-6551.67236328125	1.58505702	30.00356293	0.98713833	0.0470522166	0.0134637424	0.0024431011	0.0351569522	-0.0220717785	-0.0186621195	0.022474836499999998	-0.1213594536	0.0363997464	-0.009177136800000001	0.0313826984	0.0075020127	-0.0166281021	0.0525557406	0.0525464634	0.0525310025	0.052509359900000004	0.052481538	0.0524475402	0.0524073704	0.0523610334	0.0523085346	0.0522498801	0.052185077	0.052114132800000004	0.0520370558	0.051953855199999996	0.0518645408	0.0517691229	0.051667613	0.0515600228	0.0514463652	0.051326653300000004	0.0	-0.037014	0.0187467	-5.14434e-05	0.0	0.000175705	0.0
-7672.68505859375	-4329.09521484375	1.63294113	30.9099617	0.96947575	0.03596153839999999	0.0156042177	0.004379662800000001	0.0052523527	0.030576853900000003	-0.006201657199999999	-0.027342174900000002	-0.048370894299999995	0.0172054625	-0.0018576245000000002	0.0440631264	0.0041142620000000005	0.0193923109	0.052552771799999995	0.0525345893	0.052504289800000006	0.0524618802	0.0524073704	0.0523407729	0.0522621031	0.0521713792	0.052068622	0.051953855199999996	0.051827105400000004	0.0516884018	0.0515377763	0.0513752637	0.05120090150000001	0.051014729800000005	0.0508167918	0.0506071329	0.0503858015	0.0501528488	0.0	-0.036338	0.0187557	0.0228328	7.21409e-05	-0.0	0.0
-9177.5537109375	-5650.64306640625	1.45929134	27.62294388	0.87182665	0.05479209500000001	0.0298141599	0.0208734551	-0.04614286769999999	6.266609999999999e-05	-0.0188332315	0.0450611707	-0.08163074769999999	0.0278986802	-0.0204703576	-0.0189621704	-0.019768748899999997	0.019101395	0.0525488135	0.05251875860000001	0.05246867980000001	0.0523985962	0.0523085346	0.052198529199999996	0.052068622	0.0519188625	0.0517493079	0.0515600228	0.051351079400000006	0.051122557199999995	0.050874543499999994	0.0506071329	0.0503204271	0.0500145357	0.049689575199999995	0.04934566940000001	0.0489829496	0.048601554000000005	0.0	-0.033463	0.0447325	0.0103003	5.01891e-05	0.000189466	-5.67381e-05
-4941.60986328125	-3817.31640625	1.43768787	27.21401215	0.93295205	0.07263161299999998	0.0354992898	0.0126344666	0.0230745583	-0.0438704766	0.0082594118	0.0037481535	-0.0131108242	-0.0040082254	-0.0425375505	0.0714761739	-0.0154444289	-0.0136678268	0.0525438658	0.0524989725	0.052424178700000004	0.052319527000000005	0.052185077	0.0520209053	0.051827105400000004	0.051603787699999994	0.051351079400000006	0.0510691243	0.0507580831	0.050418133	0.0500494675	0.0496522966	0.0492268466	0.0487733597	0.048292094199999996	0.0477833242	0.0472473396	0.0466844454	0.0	-0.0439465	0.00948104	-0.000166548	2.25711e-05	0.000433706	0.0
-985.103515625	326.1982421875	1.47154319	27.8548584	0.96782732	0.065016328	0.01016434	-0.0121732959	0.0157113423	0.0369095052	0.0084442626	-0.022123313399999997	0.0527327047	-0.026866896	-0.0083210291	0.04345461849999999	-0.0170899535	0.0393871719	0.0525379288	0.0524752324	0.0523707939	0.0522246963	0.0520370558	0.0518080218	0.0515377763	0.051226534299999994	0.050874543499999994	0.050482083899999995	0.0500494675	0.049577038600000005	0.049065173	0.0485142777	0.0479247911	0.0472971821	0.046631949900000004	0.045929623600000004	0.0451907619	0.0444159527	0.0	-0.0536497	-0.0057991	0.0179549	-3.44323e-05	5.24786e-05	0.0
997.90283203125	1713.33740234375	1.76869416	33.47963333	0.89259219	0.083678235	-0.006989601	-0.0062017605	-0.038741615699999996	0.005768580600000001	-0.0037252986	0.0495096329	0.0737699137	-0.0315831452	0.0053928011	-0.004089160200000001	-0.0218129687	0.0274660408	0.0525310025	0.0524475402	0.0523085346	0.052114132800000004	0.0518645408	0.0515600228	0.05120090150000001	0.050787557000000004	0.0503204271	0.0498000066	0.0492268466	0.048601554000000005	0.0479247911	0.0471972746	0.046419775	0.045593115499999996	0.044718171699999996	0.043795870199999996	0.0428271878	0.0418131502	0.0	-0.0629954	0.0267607	0.0105511	0.000393108	0.000312317	0.0
740.65869140625	2135.4765625	1.72420919	32.63757706	0.85777533	0.020770010000000005	-0.009520906400000001	-0.0012117312	0.0103570849	-0.0291770804	0.042106034800000004	-0.0089292013	0.0765996295	-0.0373863295	0.0002695901	-0.0006827342999999999	0.0001449129	-0.0163075818	0.0525230872	0.0524158979	0.0522374112	0.051987869699999995	0.051667613	0.0512770766	0.0508167918	0.0502873846	0.049689575199999995	0.0490241767	0.048292094199999996	0.047494323600000006	0.046631949900000004	0.0457061462	0.044718171699999996	0.0436693705	0.042561169	0.0413950747	0.0401726737	0.038895628700000004	0.0	-0.0634459	0.0335454	0.00448089	0.000271059	0.000285074	0.0
