WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	NonSteadyStateOutlier00	NonSteadyStateOutlier01	X	Y	Z	RotX	RotY	RotZ
-0.04843570968145283	2.9521010251244486	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0153637	-0.00796686	-0.000472862	-0.0	0.0
-0.1850030571720528	1.7950873471873108	0.93676549	18.89352036	0.89439017	0.08740971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-0.0177465	0.0102815	0.000248161	-0.0	0.0
-0.06868623599032883	1.1971483800812002	0.91988516	18.55306244	0.87647188	0.118835959	0.0112977516	-0.007508557900000001	0.0060606235999999996	0.0087124417	0.0115553989	-0.0020157935000000003	-0.0101179119	0.0083544394	-0.0087708951	0.0228010379	-0.0009726816000000001	0.003997075	0.033624118700000004	0.0336240789	0.0336240127	0.0336239199	0.0336238006	0.0336236548	0.0336234824	0.0336232836	0.0336230582	0.033622806400000003	0.033622528	0.0336222231	0.033621891800000005	0.0336215339	0.0336211495	0.033620738500000004	0.0336203011	0.0336198372	0.0336193467	0.0	0.0	3.0069e-05	0.00935399	0.0414169	-0.000167254	-0.000243022	0.000552963
-0.07778318899537287	0.9761453004946118	0.9159109	18.47290611	0.88234782	0.0964382584	0.0163830885	-0.0128291503	0.028715018999999998	0.0126523977	0.0093702523	-0.0029538191	-0.0125117035	-0.0012083925	-0.0149570979	0.0203873931	0.015614099199999999	-0.0147837655	0.0336240127	0.0336236548	0.0336230582	0.0336222231	0.0336211495	0.0336198372	0.0336182863	0.0336164969	0.033614469	0.0336122025	0.0336096974	0.0336069539	0.0336039719	0.0336007515	0.033597292599999995	0.0335935953	0.0335896596	0.0335854855	0.0335810731	0.0	0.0	5.8856e-06	0.0491968	0.0600105	-0.00021739	-0.0	8.65677e-05
-0.13272007170960556	0.7270100199364684	1.18291235	23.85802841	0.80068266	0.0994960794	0.0086173382	-0.0092094999	0.0319912117	0.013562278799999999	-0.0100681503	-0.0388616007	-0.0111851197	-0.0009749274	-0.0123291064	0.0251169929	0.0239357578	-0.0169223048	0.0336238006	0.033622806400000003	0.0336211495	0.0336188298	0.0336158474	0.0336122025	0.033607894900000004	0.033602924900000004	0.033597292599999995	0.033590998	0.0335840412	0.0335764224	0.0335681418	0.0335591996	0.0335495958	0.0335393307	0.033528404399999996	0.0335168173	0.033504569500000005	0.0	0.0	0.0102281	0.103619	0.0600408	-0.000651957	-0.000143448	0.00020498
-0.14359987412914607	0.2947329336571897	0.9860456	19.88744545	0.79208297	0.14578147196037003	0.012590871799999999	-0.0016468766	0.0118999725	0.0198284273	-0.023508075	-0.021119455099999997	-0.0135004055	-0.0018691692	-0.0015895204	0.0169356373	0.0044228105	-0.023480540600000002	0.0336234824	0.0336215339	0.0336182863	0.03361374	0.033607894900000004	0.0336007515	0.0335923099	0.0335825704	0.0335715335	0.0335591996	0.0335455691	0.0335306426	0.0335144206	0.0334969038	0.0334780929	0.0334579885	0.0334365915	0.0334139027	0.0333899229	0.0	0.0	-1.96037e-09	0.0208847	0.0600233	5.56464e-05	-0.0	0.0
-0.23745896372967654	0.10724976841874888	0.8653124	17.45239067	0.74275184	0.039989451960369994	0.0221042246	0.0034483015999999997	-0.022066136200000003	-0.0056136898	-0.0196426634	-0.0138513423	-0.0201088149	-0.0092276324	0.0028392953000000005	0.001185574	-0.0073024327	-0.0045125286	0.0336230582	0.0336198372	0.033614469	0.0336069539	0.033597292599999995	0.0335854855	0.0335715335	0.0335554374	0.0335371983	0.0335168173	0.033494295699999996	0.033469635	0.0334428368	0.0334139027	0.0333828346	0.0333496345	0.0333143045	0.0332768468	0.0332372639	0.0	0.0	0.00869337	0.0318435	0.07312739999999998	0.00020031	-0.0	0.0
-0.24786467510658355	-0.08536115405692463	0.77705282	15.67229271	0.74877363	0.0641589063	0.023413953900000003	0.0088699145	-0.027362686	-0.013384493899999999	-0.014319239	-0.0089690861	-0.021227046800000003	-0.012935533300000001	0.0028454828	-0.0144102998	-0.007365762	0.0152283421	0.033622528	0.033617716400000004	0.0336096974	0.033598472000000004	0.0335840412	0.0335664063	0.0335455691	0.0335215314	0.033494295699999996	0.0334638645	0.033430240800000004	0.0333934276	0.0333534286	0.0333102475	0.0332638885	0.0332143561	0.0331616548	0.0331057898	0.0330467663	0.0	0.0	3.9137e-06	0.0560922	0.0679217	0.000409175	-0.000173988	-0.000137448
-0.2777481832733763	-0.05716290954484921	0.78346902	15.80170059	0.75687271	0.09473746566037	0.0169233679	0.0157074552	-0.0255940986	-0.0166259449	0.0068822541000000004	-0.026988488999999997	-0.0156265739	-0.0120842318	0.0074332899	-0.004815892800000001	0.0030728751	0.0375525261	0.033621891800000005	0.0336151715	0.0336039719	0.0335882947	0.0335681418	0.033543516	0.0335144206	0.0334808593	0.0334428368	0.033400358	0.0333534286	0.0333020549	0.033246243700000004	0.033186002400000005	0.0331213391	0.0330522625	0.0329787816	0.0329009063	0.032818647	0.0	0.0	-1.96037e-09	0.0981732	0.0636198	-0.000246402	-0.0	0.0
-0.12642207564333785	0.005459041323021664	0.74083179	14.94175434	0.75529987	0.07808579999999998	0.0116941071	0.0215088345	-0.0144820603	-0.0023207605	0.0194379714	-0.027009418700000003	-0.0115988181	-0.0102707251	0.0143932023	0.005356255600000001	4.7237700000000003e-05	0.0293153298	0.0336211495	0.0336122025	0.033597292599999995	0.0335764224	0.0335495958	0.0335168173	0.0334780929	0.033433429300000005	0.0333828346	0.033326317700000004	0.0332638885	0.033195558300000004	0.0331213391	0.0330412441	0.0329552875	0.0328634846	0.0327658515	0.0326624057	0.032553165499999995	0.0	0.0	-1.96037e-09	0.0407469	0.0547054	-0.000481304	-0.0	0.0
