WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	NonSteadyStateOutlier00	NonSteadyStateOutlier01	NonSteadyStateOutlier02	X	Y	Z	RotX	RotY	RotZ
6959.31787109375	8924.14453125	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	-0.00694256	-1.21642e-06	0.0192937	0.0	-6.1801e-05	-7.79298e-05
1536.32421875	5841.4912109375	1.13279533	22.70586777	1.27594388	0.038654487720000005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	5.92832e-07	-6.86532e-07	-0.000527815	-0.000118946	-0.00010271100000000003	0.0
1437.83056640625	5000.1201171875	0.98499334	19.74330902	0.93581176	0.06429030631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00602244	7.79761e-06	-0.00206974	0.000683193	0.000229511	0.0
942.1494140625	3214.873291015625	1.11189234	22.28688431	1.0130372	0.08454841761000001	-0.0132443383	0.025758756600000002	-0.1441481791	0.1713683386	-0.1146568043	0.0672571921	-0.0363963603	-0.0523619434	0.18764639489999999	-0.0368449923	0.0742075908	-0.11430501900000001	0.0995007106	0.09949168539999999	0.099476644	0.09945558730000001	0.0	0.0	0.0	0.0128792	-0.0293698	0.00546257	0.0012151000000000004	0.000513239	0.0
1186.40576171875	3942.470703125	1.16344154	23.32014275	0.98409528	0.090937425	-0.0044403895	-0.0163934052	-0.2323183205	0.0590619242	-0.0324276298	0.0812559281	-0.042300090199999994	-0.047187807199999994	0.1352622957	0.015161204199999999	0.0146471596	-0.0162909438	0.099476644	0.0993954336	0.09926013199999999	0.09907081300000001	0.0	0.0	0.0	0.00470513	-0.0348768	0.022992	0.000536901	7.97929e-05	8.289339999999998e-05
-526.4628295898439	3016.25537109375	0.99998033	20.0437088	0.96859527	0.15053014499999998	-0.0008172713	-0.0592570801	-0.1871128401	0.0239530165	-0.014965025900000001	6.17078e-05	0.1965374087	-0.0234053021	0.0281160946	-0.1076981708	-0.010558208400000001	-0.06435053019999999	0.0994285166	0.09920302310000001	0.09882757939999999	0.09830275289999998	0.0	0.0	0.0	0.0216643	0.079941	0.0239318	0.000536901	0.000353167	0.0
744.2935791015625	3544.3837890625	0.98198801	19.68306923	0.89086634	0.101803475	-0.0025863139	-0.0665010414	-0.160453528	-0.0319256424	0.0503496941	0.025153522400000003	0.0638462667	-0.0398690966	0.0657151189	-0.0351617611	-0.0119942286	0.0030937923	0.09935634019999999	0.0989146402	0.0981799275	0.0971543786	0.0	0.0	0.0	0.0164055	0.0584623	0.0269648	0.00172796	0.000177773	-7.420649999999998e-05
121.54998779296876	2823.16845703125	1.041834	20.88262749	0.84238881	0.116394725	-0.031062332400000003	-0.042236995599999994	-0.1124529217	-0.10710441779999999	0.0790450074	0.0356593855	0.07873100799999999	-0.0250691723	0.027834941000000002	-0.025412284900000002	-0.0284864249	-0.0070475413	0.09926013199999999	0.09853056369999999	0.097318586	0.09563013279999999	0.0	0.0	0.0	0.0248252	0.0300967	0.018728	0.00257535	0.000683629	0.0
196.96258544921875	1899.9219970703125	0.97287381	19.50038338	0.88720423	0.09921077000000003	-0.0018741796	-0.0836324889	-0.060580587000000005	-0.1265253342	0.0024335754	-0.0513279546	0.1164281978	-0.044270480599999995	0.044484545199999996	-0.0659939002	0.0441290777	-0.10404448990000001	0.09913991550000001	0.09805116529999999	0.09624542960000002	0.0937359127	0.0	0.0	0.0	0.0261068	-0.00596741	-0.00109046	0.00222437	0.000193677	0.0
83.218994140625	1430.300537109375	1.15880263	23.2271595	0.94865233	0.07201956100000001	0.0037677399	-0.0075379467	-0.028848471	-0.028518703399999998	-0.12934305699999998	-0.07385601230000001	0.0873153039	-0.0578845208	0.0101636164	-0.0668674578	0.053462532699999996	-0.1024229387	0.09899571970000001	0.0974769086	0.094962794	0.09147904650000001	0.0	0.0	0.0	0.0210468	-0.00597403	-0.000511569	0.00131242	0.000284251	-0.000324957
761.787841796875	1526.428955078125	1.08326101	21.71299553	0.93486792	0.142763274	-0.0397893078	-0.0124867939	-0.003609422	-0.0197225458	-0.09358378939999999	-0.012474851399999999	-0.029141697400000003	-0.0822885788	0.0165918709	-0.0095215588	0.0600406888	-0.12438198060000001	0.09882757939999999	0.0968083494	0.0934734709	0.08886826560000001	0.0	0.0	0.0	0.0267944	0.0257033	0.0222823	0.00256405	-2.31835e-05	-0.000416782
