WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
5083.9892578125	6473.83349609375	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	0.0
-410.296630859375	837.3687133789062	1.75037682	26.12802124	1.8037101	0.0326335552	-0.0670596027	-0.0289962459	-0.028325133399999997	-0.1242500242	0.1055924116	-0.0083861627	-0.10185652419999999	0.0492182904	0.0826705605	-0.0592539237	0.054160079400000005	-0.2881311871	0.1002478183	0.1002384491	0.10022283439999999	0.1002009753	0.0	-1.31552e-05	0.0	0.0256544	0.0	0.00013932	0.0
-666.6451416015625	-277.15866088867193	1.00972581	15.07226181	0.93073493	0.0344918882	-0.1072635482	-0.0262146001	0.032232588900000005	-0.1444966869	0.0798124625	0.009527493100000001	-0.1037838782	0.0002554757	0.0090694861	-0.0307371998	0.0795672587	-0.24480202899999998	0.10022283439999999	0.10013852919999999	0.0999980731	0.0998015448	0.0	-3.19084e-05	0.00379693	0.035762	0.000142562	6.40749e-05	-0.000193565
-588.74365234375	-844.21728515625	1.00533974	15.00679111	0.92601764	0.0315173275	-0.1072920341	-0.0072160747	0.0382692506	-0.0865524327	0.053805834299999994	-0.028598962599999996	-0.10014926519999999	-0.0300138933	0.0053591147	-0.0094419044	0.0664653634	-0.056517445199999995	0.10017287289999999	0.09993878910000001	0.0995490545	0.0990042761	0.0	0.0	1.63059e-05	0.0501036	0.000132938	-0.0	0.0
-752.0921630859375	-763.27587890625	0.9980371	14.89778328	0.8772034	0.0497519724	-0.07766204110000001	0.056586845499999996	0.0181909556	-0.0655535397	-0.0172678966	0.0280569471	-0.08578614779999999	-0.06912815900000001	0.0113899237	-0.017233020800000002	0.049303241	-0.0374772019	0.1000979463	0.0996394278	0.0988767856	0.0978123473	0.0	0.008149949999999998	5.55283e-05	0.0571338	0.000518116	-0.000305474	0.0
-976.971923828125	-790.0532836914062	1.09429622	16.33465195	0.93751556	0.059311064300000015	-0.0311347299	0.0918736366	0.0367985969	-0.0607697925	-0.12950846900000001	0.047119885599999994	-0.0313700654	-0.1073444742	-0.0263412939	0.0419291347	0.027536054100000002	-0.0621224582	0.0999980731	0.0992407438	0.09798277400000001	0.0962305098	0.0	0.0171029	-0.000107386	0.0632781	-0.000284766	-0.000227338	0.0
-972.4766845703124	-845.6431884765625	1.20941985	18.05311203	1.05834603	0.14711176399999998	0.0180049359	0.0854225617	0.1007205817	0.0037059005	-0.101179546	0.0021255825	0.0268097092	-0.1305784215	-0.045721494	-0.0192882308	-0.0104178798	-0.1695238564	0.0998732783	0.0987431344	0.0968690246	0.0942650692	0.0	0.0376636	-0.0111767	0.0755065	-0.00136784	-0.000529888	0.000679443
-1450.0439453125	-1206.7017822265625	1.06303084	15.86795044	0.94107693	0.09219750399999999	0.0660757349	0.0726706793	0.10479263050000001	0.0332335189	0.012124291200000002	-0.0127866834	0.0721095697	-0.12045256439999999	-0.1143341922	-0.0123727424	-0.1310554613	-0.0955395856	0.09972359300000001	0.0981470957	0.09553803529999999	0.09192386050000001	0.0	0.0420749	0.000266754	0.0587874	-0.00029831	-0.000477244	0.000609144
-853.4862060546875	-741.1041870117188	0.93692571	13.985569	0.84201002	0.053956512	0.0866688008	0.0240281481	0.0809149362	0.0415885182	0.038625379	-0.0141041477	0.0982009735	-0.0511334355	-0.10217472650000001	-0.025449173	-0.1010949835	-0.0143347561	0.0995490545	0.0974532219	0.0939927908	0.08921621619999999	0.0	0.0343509	0.000987266	0.0370315	-0.000170761	-0.000529888	0.000314215
-450.084716796875	-344.8190612792969	1.00963271	15.07087135	0.93635994	0.046047701	0.0934190096	0.005811639300000001	0.039852	0.0265588578	0.024678417799999998	0.007025065699999999	0.0967795025	0.0174803076	-0.0336555096	-0.0717331337	-0.0661224566	0.0344483361	0.0993497063	0.09666220460000001	0.0922367566	0.08615293	0.0	0.0343751	-0.0265677	0.0286139	-4.00463e-05	-0.000529888	0.000384519
-323.9332275390625	91.559814453125	0.92180449	13.75985336	0.86179864	0.098930935	0.1047828724	-0.008658874	0.0003862178	0.0404254591	0.0433343162	0.0011000680999999999	0.09905155380000001	0.0669801028	-0.0090182632	-0.0823281888	-0.0763750117	0.0577409278	0.09912559800000001	0.0957748323	0.09027387070000001	0.0827462129	0.0	0.0343378	-0.06978	0.0428787	-0.000743673	-0.000529888	0.000259815
-299.46923828125	620.1261596679688	0.87093973	13.00059032	0.84744364	0.04830474999999999	0.1003701674	-0.0365399423	-0.042102491	0.0807220137	0.0256606146	0.0549889731	0.09217996349999999	0.08598099070000001	0.0173258767	-0.0502083775	-0.0483811771	0.0337716721	0.0988767856	0.09479198949999999	0.0881085353	0.0790096451	0.0	0.0343809	-0.0440603	0.0439243	-0.000894715	-0.00076809	0.000300498
-777.8489990234375	759.1300659179688	0.8926906	13.32526779	0.84178716	0.059594149999999985	0.1020064134	-0.041716821800000005	-0.0782165366	0.09679557970000001	-0.0197771206	0.09875870960000001	0.07243618360000001	0.07325638799999999	0.0029516076	-0.0347458625	-0.0355887977	0.038627062999999996	0.098603331	0.09371465609999999	0.08574560619999999	0.0749581217	0.0	0.0343547	-0.0159984	0.049497	-0.00111068	-0.000616031	0.000149855
