WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	Cosine04	Cosine05	Cosine06	Cosine07	Cosine08	Cosine09	Cosine10	Cosine11	Cosine12	Cosine13	Cosine14	Cosine15	Cosine16	Cosine17	Cosine18	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
2171.830322265625	5182.74560546875	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	-1.24204e-09	-0.00256154	7.717949999999998e-05	-0.0	0.0
-517.513916015625	1344.9580078125	1.27243316	30.69444656	1.13725388	0.1060615115593	0.0149745881	-0.0031706402000000002	0.0018267457	-0.0097913055	0.0037691023	-0.0125567827	-0.0092835882	0.0071953852	-0.0124595031	0.024314767200000004	-0.015063698	0.0308422083	0.053682675199999995	0.0536822627	0.0536815751	0.0536806126	0.053679375099999996	0.0536778625	0.053676075	0.0536740125	0.053671675	0.0536690626	0.05366617519999999	0.0536630129	0.053659575599999995	0.0536558635	0.0536518765	0.0536476147	0.053643078	0.053638266500000004	0.0536331802	0.0	1.30134e-09	-4.89965e-05	0.0807221	-0.000377398	-0.0	0.0
-1225.63916015625	176.67041015625	1.14829195	27.69983292	1.17239273	0.13347423949866	0.012405011399999999	0.0023106895	0.008882417	0.0100412429	0.007011096	0.015953453899999998	-0.011189311	0.0002725954	0.0234602667	0.0015984907999999998	-0.0076843685	-0.0182647757	0.0536815751	0.0536778625	0.053671675	0.0536630129	0.0536518765	0.053638266500000004	0.053622183399999995	0.0536036279	0.053582600999999994	0.053559103600000005	0.0535331368	0.0535047017	0.0534737997	0.05344043230000001	0.0534046009	0.0533663072	0.0533255529	0.05328234	0.0532366705	0.0	6.2693e-06	0.0307801	0.0144312	0.000279912	-6.96495e-05	0.0
-1887.6083984375	-733.3984375	0.89028132	21.47593498	0.91447347	0.133773688	0.0211269564	0.006985576899999999	0.0079601878	0.0022818989	0.0174521815	0.0209787969	0.0170096585	0.021626432400000003	-0.0023367664000000002	0.013968026100000001	0.0030845052	-0.0289601686	0.053679375099999996	0.0536690626	0.0536518765	0.0536278191	0.0535968935	0.053559103600000005	0.0535144542	0.0534629511	0.0534046009	0.0533394109	0.0532673897	0.053188546399999995	0.0531028911	0.0530104347	0.0529111892	0.052805167199999996	0.05269238230000001	0.052572849000000005	0.0524465825	0.0	1.18213e-05	-0.0206874	0.08184919999999998	-9.89722e-06	-7.7493e-05	0.0
-924.546142578125	515.9384765625	0.88766545	21.41283226	0.83564597	0.1142569897	0.0327951598	0.024716362599999996	0.0260518627	0.0040222052	0.004148119699999999	-0.0036343081	0.0308982993	-0.004274139000000001	-0.0072595498999999996	0.0291211526	-0.024041341600000002	1.73059e-05	0.053676075	0.0536558635	0.053622183399999995	0.053575042999999996	0.0535144542	0.05344043230000001	0.0533529957	0.0532521665	0.05313797	0.0530104347	0.052869592800000004	0.0527154796	0.0525481338	0.0523675974	0.052173915599999995	0.0519671372	0.051747314	0.0515145012	0.0512687573	0.0	0.0259434	-0.0654107	0.0937247	0.000145108	0.000185568	0.000216466
-663.54638671875	1805.80712890625	0.92440903	22.2991848	0.86525369	0.113454525	0.0142407334	0.0088110904	0.0146982052	-0.012037778700000001	-0.005519960799999999	-0.0110689344	0.0207445133	-0.0036624383	0.0146190344	-0.0011512726	0.002341962	0.036940707	0.053671675	0.053638266500000004	0.053582600999999994	0.0535047017	0.0534046009	0.05328234	0.05313797	0.0529715505	0.0527831508	0.052572849000000005	0.052340732300000005	0.052086897	0.051811448600000004	0.0515145012	0.051196178200000005	0.0508566115	0.050495942099999996	0.0501143197	0.049711902599999996	0.0	-0.0047695	-0.06546	0.134254	-9.22295e-05	0.000732267	0.00027569
-515.546875	2969.36328125	1.05453682	25.43820953	0.92557532	0.265817075	-0.0036514303000000003	0.0037727701	-0.0477070618	-0.018290387800000002	-0.06194524059999999	-0.0593936764	0.024741182400000002	-0.0199722878	-0.0179460856	0.01169317	-0.0241967934	0.02935701	0.05366617519999999	0.0536162729	0.0535331368	0.0534168183	0.0532673897	0.053084943499999995	0.052869592800000004	0.0526214712	0.052340732300000005	0.052027550199999995	0.0516821191	0.051304653	0.0508953859	0.0504545715	0.049982483099999996	0.0494794132	0.0489456738	0.0483815955	0.0477875281	0.0	-0.0499685	-0.0334502	0.0654532	-0.000805914	-0.00022064	-0.000453868
-571.797119140625	2085.1689453125	1.04600024	25.23228455	0.95534641	0.08694425999999998	-0.0080401629	-0.009042147	-0.031654670499999996	0.0154777985	-0.0710136706	-0.043346915	0.0086762313	-0.00044639120000000004	-0.0028926318	0.0064083513	-0.0283186692	0.027025267999999998	0.053659575599999995	0.053589884500000004	0.0534737997	0.0533114217	0.0531028911	0.0528483883	0.0525481338	0.0522023875	0.051811448600000004	0.0513756557	0.0508953859	0.0503710551	0.049803117300000005	0.049192064	0.0485384242	0.047842763899999995	0.047105685300000005	0.0463278265	0.0455098608	0.0	-0.0499782	-0.00802079	0.0630221	-0.00158247	-0.000399311	-0.000680122
-558.39111328125	1499.75634765625	0.95181781	22.96035767	0.83258414	0.07889964	-0.023571182599999997	-0.041470610299999995	0.0090482181	0.044306134500000004	-0.00042501809999999997	-0.0091697817	-0.033276126600000004	0.0054229335	0.0115449288	-0.0011032716	0.0090915027	-0.0166584163	0.0536518765	0.053559103600000005	0.0534046009	0.053188546399999995	0.0529111892	0.052572849000000005	0.052173915599999995	0.05171484900000001	0.051196178200000005	0.0506185009	0.049982483099999996	0.049288857699999994	0.0485384242	0.0477320475	0.046870657	0.0459552455	0.044986868	0.0439666408	0.0428957395	0.0	-0.0499974	-0.004857	0.0392942	-0.00235537	-0.000303723	-0.000851409
-976.3916015625	1407.5	0.82596642	19.92448997	0.68351936	0.1265086	-0.0291212138	-0.0433205648	0.033624553	0.032492850499999996	0.024622163	0.0196094277	-0.0465131267	0.013745303799999999	0.0230121762	-0.0028100833	0.022334826600000003	-0.0643140067	0.053643078	0.0535239326	0.0533255529	0.053048232699999996	0.05269238230000001	0.0522585287	0.051747314	0.0511594951	0.050495942099999996	0.0497576374	0.0489456738	0.0480612533	0.047105685300000005	0.0460803843	0.044986868	0.0438267554	0.0426017637	0.041313706400000004	0.039964490299999995	0.0	-0.0328246	-0.014192	0.07829999999999998	-0.00204711	0.000292887	-0.000536379
