WhiteMatter	GlobalSignal	stdDVARS	non-stdDVARS	vx-wisestdDVARS	FramewiseDisplacement	tCompCor00	tCompCor01	tCompCor02	tCompCor03	tCompCor04	tCompCor05	aCompCor00	aCompCor01	aCompCor02	aCompCor03	aCompCor04	aCompCor05	Cosine00	Cosine01	Cosine02	Cosine03	NonSteadyStateOutlier00	X	Y	Z	RotX	RotY	RotZ
1451.91650390625	3138.469970703125	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	-0.0	0.0
-119.2362060546875	1179.1412353515625	1.67683613	26.6034832	1.12054634	0.06247354	-0.07714952509999999	0.045999119500000005	-0.10918741439999999	0.0919051016	-0.0431509209	0.0316424239	-0.0688991666	0.0088999645	0.0503755523	0.0475997539	-0.08523403019999999	0.0095206722	0.1002478183	0.1002384491	0.10022283439999999	0.1002009753	0.0	-0.00857047	0.00662952	0.0308406	-0.000328659	-0.0	0.0
51.17355346679688	754.3751220703125	1.43707371	22.79958344	0.9040733	0.042918770200000005	-0.07826872160000001	-0.0722601945	0.0098798037	0.0100685931	-0.1243635177	0.0523278887	-0.0275313142	0.09121103289999999	-0.0235736904	0.0497233149	0.0013781254000000001	-0.0990375683	0.10022283439999999	0.10013852919999999	0.0999980731	0.0998015448	0.0	-3.5298e-06	0.0262163	0.0321871	-0.000191792	-0.0	-0.000131504
-350.51043701171875	309.14013671875	1.53722239	24.3884716	0.94365758	0.0668457202	0.0568027931	-0.0664786989	0.0584819098	0.0589208613	-0.1508624988	-0.0180607208	0.08107063839999999	0.0102828702	-0.0265486398	-0.0071352418999999995	0.0233715916	-0.0114216428	0.10017287289999999	0.09993878910000001	0.0995490545	0.0990042761	0.0	-0.00859496	0.00344541	0.0441007	-0.000416352	0.000151235	-0.000227105
-75.22567749023438	478.74896240234375	1.7155416	27.217556	0.9801684	0.06476510485999999	0.0413223875	0.0670956436	-0.0700097809	0.0546238804	-0.0610378579	-0.0145537321	-0.0056117201	-0.0823089261	0.0335255559	-0.0091140149	-0.0506537454	-0.028117313999999997	0.1000979463	0.0996394278	0.0988767856	0.0978123473	0.0	-7.49514e-06	0.0124115	0.024946	-0.000221032	0.000289947	0.0
-114.19091796875	466.8265380859375	1.4619776	23.1946907	0.95615751	0.06048063308	-0.0887110018	0.0126021113	-0.057857587800000006	-0.015243681	-0.0412081067	0.11806895490000001	-0.0738730999	0.0328219444	0.0387749923	-0.0062478835	-0.0158894788	-0.13261596380000001	0.0999980731	0.0992407438	0.09798277400000001	0.0962305098	0.0	7.5794e-07	-0.00811538	0.0370655	-0.000467429	0.000200764	-0.00022094
-99.71865844726562	129.06034851074222	1.44386709	22.90736198	0.94279158	0.054149792167	0.0195588768	-0.0949721893	0.0413513899	0.0156670808	-0.0353887002	-0.1162700483	0.048752154699999994	0.0519680516	-0.0742000144	-0.0389528398	-0.050711275	0.0206909154	0.0998732783	0.0987431344	0.0968690246	0.0942650692	0.0	5.45773e-07	0.026634	0.0420258	-0.000414486	0.000215679	0.0
182.75360107421875	-32.268341064453125	1.46569097	23.25360489	0.91242164	0.061468325773	0.08827341050000001	0.022851000099999998	0.0324756612	-0.0432396337	0.059208475499999996	0.028515018700000002	0.0737614222	-0.0584982964	-0.0245913761	0.022899504100000002	-0.0056531622999999994	0.038682427400000004	0.09972359300000001	0.0981470957	0.09553803529999999	0.09192386050000001	0.0	-0.00602741	-0.00857592	0.0280074	-0.000414486	0.00033992	0.0
-248.61788940429688	-249.87826538085938	1.39866149	22.19016266	0.88568002	0.04619408	-0.018898873400000002	0.08993301140000001	-0.025591854900000002	-0.062733677	0.0730309274	-0.0018216623999999999	-0.0482373354	-0.0548946869	0.0479617232	0.0424480496	0.0571181242	0.014187614099999999	0.0995490545	0.0974532219	0.0939927908	0.08921621619999999	0.0	-0.00621031	-0.0264369	0.0350589	-0.000414486	0.000178908	-0.000260962
-246.2393951416016	-525.2382202148439	1.31873131	20.92204857	0.87510705	0.04525789	-0.0883771249	-0.0140624323	-0.0089522084	-0.0331197349	0.1064675524	-0.0280728707	-0.08134364570000001	0.037431158900000004	-0.0132932008	-0.0097080775	-0.0018879885000000001	0.0546462072	0.0993497063	0.09666220460000001	0.0922367566	0.08615293	0.0	-0.00408192	-0.0151412	0.0265195	-0.000414486	0.000383834	0.0
